[2025-03-11T21:25:18.826+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-11T21:25:18.837+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: redfin_analytics_dag.tsk_transform_redfin_data manual__2025-03-11T21:16:32.124291+00:00 [queued]>
[2025-03-11T21:25:18.843+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: redfin_analytics_dag.tsk_transform_redfin_data manual__2025-03-11T21:16:32.124291+00:00 [queued]>
[2025-03-11T21:25:18.843+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-03-11T21:25:18.859+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): tsk_transform_redfin_data> on 2025-03-11 21:16:32.124291+00:00
[2025-03-11T21:25:18.865+0000] {standard_task_runner.py:72} INFO - Started process 28724 to run task
[2025-03-11T21:25:18.868+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'redfin_analytics_dag', 'tsk_transform_redfin_data', 'manual__2025-03-11T21:16:32.124291+00:00', '--job-id', '114', '--raw', '--subdir', 'DAGS_FOLDER/redfin_analytics.py', '--cfg-path', '/tmp/tmprajpe34e']
[2025-03-11T21:25:18.869+0000] {standard_task_runner.py:105} INFO - Job 114: Subtask tsk_transform_redfin_data
[2025-03-11T21:25:18.910+0000] {task_command.py:467} INFO - Running <TaskInstance: redfin_analytics_dag.tsk_transform_redfin_data manual__2025-03-11T21:16:32.124291+00:00 [running]> on host ip-172-31-7-71.eu-west-2.compute.internal
[2025-03-11T21:25:18.965+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dengineer420@gmail.com' AIRFLOW_CTX_DAG_OWNER='Rahul' AIRFLOW_CTX_DAG_ID='redfin_analytics_dag' AIRFLOW_CTX_TASK_ID='tsk_transform_redfin_data' AIRFLOW_CTX_EXECUTION_DATE='2025-03-11T21:16:32.124291+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-11T21:16:32.124291+00:00'
[2025-03-11T21:25:18.966+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-03-11T21:25:18.966+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-03-11T21:26:15.569+0000] {logging_mixin.py:190} INFO - Number of rows:  77905
[2025-03-11T21:26:15.569+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:17.399+0000] {logging_mixin.py:190} INFO - Number of rows:  78090
[2025-03-11T21:26:17.401+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:19.105+0000] {logging_mixin.py:190} INFO - Number of rows:  78029
[2025-03-11T21:26:19.105+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:21.018+0000] {logging_mixin.py:190} INFO - Number of rows:  78193
[2025-03-11T21:26:21.018+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:22.997+0000] {logging_mixin.py:190} INFO - Number of rows:  77752
[2025-03-11T21:26:22.997+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:24.823+0000] {logging_mixin.py:190} INFO - Number of rows:  77774
[2025-03-11T21:26:24.823+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:26.480+0000] {logging_mixin.py:190} INFO - Number of rows:  77638
[2025-03-11T21:26:26.480+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:28.149+0000] {logging_mixin.py:190} INFO - Number of rows:  77894
[2025-03-11T21:26:28.150+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:30.124+0000] {logging_mixin.py:190} INFO - Number of rows:  78018
[2025-03-11T21:26:30.124+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:32.037+0000] {logging_mixin.py:190} INFO - Number of rows:  77576
[2025-03-11T21:26:32.037+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:33.874+0000] {logging_mixin.py:190} INFO - Number of rows:  77483
[2025-03-11T21:26:33.874+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:35.676+0000] {logging_mixin.py:190} INFO - Number of rows:  77590
[2025-03-11T21:26:35.677+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:37.589+0000] {logging_mixin.py:190} INFO - Number of rows:  77711
[2025-03-11T21:26:37.589+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:39.270+0000] {logging_mixin.py:190} INFO - Number of rows:  77745
[2025-03-11T21:26:39.270+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:41.282+0000] {logging_mixin.py:190} INFO - Number of rows:  77575
[2025-03-11T21:26:41.283+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:43.252+0000] {logging_mixin.py:190} INFO - Number of rows:  77553
[2025-03-11T21:26:43.252+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:45.167+0000] {logging_mixin.py:190} INFO - Number of rows:  77368
[2025-03-11T21:26:45.167+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:46.891+0000] {logging_mixin.py:190} INFO - Number of rows:  76973
[2025-03-11T21:26:46.891+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:48.805+0000] {logging_mixin.py:190} INFO - Number of rows:  77285
[2025-03-11T21:26:48.806+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:50.706+0000] {logging_mixin.py:190} INFO - Number of rows:  77209
[2025-03-11T21:26:50.708+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:52.470+0000] {logging_mixin.py:190} INFO - Number of rows:  77154
[2025-03-11T21:26:52.470+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:54.189+0000] {logging_mixin.py:190} INFO - Number of rows:  77136
[2025-03-11T21:26:54.190+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:56.120+0000] {logging_mixin.py:190} INFO - Number of rows:  77072
[2025-03-11T21:26:56.120+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:58.050+0000] {logging_mixin.py:190} INFO - Number of rows:  77022
[2025-03-11T21:26:58.050+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:26:59.795+0000] {logging_mixin.py:190} INFO - Number of rows:  76953
[2025-03-11T21:26:59.795+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:27:01.474+0000] {logging_mixin.py:190} INFO - Number of rows:  76854
[2025-03-11T21:27:01.475+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:27:03.469+0000] {logging_mixin.py:190} INFO - Number of rows:  76596
[2025-03-11T21:27:03.469+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:27:05.309+0000] {logging_mixin.py:190} INFO - Number of rows:  76021
[2025-03-11T21:27:05.310+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:27:06.715+0000] {logging_mixin.py:190} INFO - Number of rows:  60837
[2025-03-11T21:27:06.716+0000] {logging_mixin.py:190} INFO - Number of columns:  28
[2025-03-11T21:28:38.544+0000] {python.py:240} INFO - Done. Returned value was: None
[2025-03-11T21:28:38.549+0000] {taskinstance.py:341} INFO - ::group::Post task execution logs
[2025-03-11T21:28:38.549+0000] {taskinstance.py:353} INFO - Marking task as SUCCESS. dag_id=redfin_analytics_dag, task_id=tsk_transform_redfin_data, run_id=manual__2025-03-11T21:16:32.124291+00:00, execution_date=20250311T211632, start_date=20250311T212518, end_date=20250311T212838
[2025-03-11T21:28:38.572+0000] {logging_mixin.py:190} INFO - Task instance in success state
[2025-03-11T21:28:38.573+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: running
[2025-03-11T21:28:38.573+0000] {logging_mixin.py:190} INFO - Dag name:redfin_analytics_dag queued_at:2025-03-11 21:16:32.131975+00:00
[2025-03-11T21:28:38.573+0000] {logging_mixin.py:190} INFO - Task hostname:ip-172-31-7-71.eu-west-2.compute.internal operator:PythonOperator
[2025-03-11T21:28:38.633+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2025-03-11T21:28:38.639+0000] {taskinstance.py:3901} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2025-03-11T21:28:38.640+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
